gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022500492,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,,,34:16,123.0,123.0,119.4,119.4,3.5,3.5,0.2,2.5,17.2,0.0,0.065,0.03,6.9,0.611,0.706,0.267,0.267,102.25,102.25,85.21,74.0,0.14
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1627780,Gary,Payton II,G. Payton II,gary-payton-ii,,,,20:54,118.6,118.6,115.9,115.9,2.7,2.7,0.143,0.67,14.3,0.2,0.174,0.186,21.4,0.556,0.556,0.24,0.24,99.9,99.9,83.25,43.0,0.105
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1641764,Brandin,Podziemski,B. Podziemski,brandin-podziemski,,,,24:03,134.0,134.0,127.1,127.1,6.9,6.9,0.364,0.0,50.0,0.045,0.217,0.133,0.0,0.357,0.381,0.14,0.14,97.79,97.79,81.49,50.0,0.097
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1631218,Trayce,Jackson-Davis,T. Jackson-Davis,trayce-jackson-davis,,,,16:52,126.5,126.5,100.0,100.0,26.5,26.5,0.0,0.0,0.0,0.19,0.125,0.162,0.0,0.8,0.666,0.152,0.152,95.31,95.31,79.42,34.0,0.12
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1629001,De'Anthony,Melton,D. Melton,deanthony-melton,,,,24:34,104.1,104.1,114.9,114.9,-10.8,-10.8,0.167,2.0,14.3,0.067,0.25,0.14,7.1,0.591,0.591,0.188,0.188,93.79,93.79,78.15,49.0,0.159
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1642954,Will,Richard,W. Richard,will-richard,,,,17:51,111.1,111.1,117.1,117.1,-6.0,-6.0,0.0,0.0,0.0,0.0,0.125,0.056,28.6,0.8,0.8,0.152,0.152,95.46,95.46,79.55,36.0,0.058
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1630611,Gui,Santos,G. Santos,gui-santos,,,,8:24,133.3,133.3,125.0,125.0,8.3,8.3,0.222,0.0,50.0,0.0,0.2,0.071,0.0,0.0,0.0,0.091,0.091,97.14,97.14,80.95,18.0,0.0
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1627741,Buddy,Hield,B. Hield,buddy-hield,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1630228,Jonathan,Kuminga,J. Kuminga,jonathan-kuminga,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022500492,1610612744,Golden State,Warriors,GSW,warriors,1630311,Pat,Spencer,P. Spencer,pat-spencer,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
